"No.","Time","Source","Destination","Protocol","Length","Info"
"1081","10.890967","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1082","10.891225","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1083","10.891427","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1084","10.891671","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1085","10.891856","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1086","10.892146","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1087","10.892334","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1088","10.892597","10.12.14.191","224.0.0.251","MDNS","70","Standard query 0x0000 A wpad.local, ""QM"" question"
"1089","10.892798","fe80::f053:5c87:768b:d8e8","ff02::fb","MDNS","90","Standard query 0x0000 A wpad.local, ""QM"" question"
"1090","11.122978","10.12.14.191","10.12.255.255","NBNS","92","Name query NB DESKTOP-KEQCOJS<1c>"
"1091","11.344477","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1092","11.344563","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1093","11.344612","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1094","11.377364","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1095","11.390935","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1096","11.391004","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1097","11.391042","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"1098","11.873301","10.12.14.191","10.12.255.255","NBNS","92","Name query NB DESKTOP-KEQCOJS<1c>"
"1099","12.006406","10.12.14.191","35.175.164.218","TLSv1.2","122","Application Data"
"1100","12.176713","35.175.164.218","10.12.14.191","TLSv1.2","85","Application Data"
"1101","12.176909","10.12.14.191","35.175.164.218","TLSv1.2","89","Application Data"
"1102","12.269776","35.175.164.218","10.12.14.191","TCP","54","443  >  53010 [ACK] Seq=32 Ack=69 Win=119 Len=0"
"1103","12.271578","35.175.164.218","10.12.14.191","TLSv1.2","120","Application Data"
"1104","12.271627","10.12.14.191","35.175.164.218","TCP","54","53010  >  443 [ACK] Seq=104 Ack=98 Win=513 Len=0"
"1105","12.447319","35.175.164.218","10.12.14.191","TCP","54","443  >  53010 [ACK] Seq=98 Ack=104 Win=119 Len=0"
"1106","12.714812","10.12.14.191","10.6.0.108","DNS","83","Standard query 0x0cf9 A ctldl.windowsupdate.com"
"1107","12.718831","10.6.0.108","10.12.14.191","DNS","265","Standard query response 0x0cf9 A ctldl.windowsupdate.com CNAME audownload.windowsupdate.nsatc.net CNAME au.download.windowsupdate.com.edgesuite.net CNAME a767.dscg3.akamai.net A 117.239.91.111 A 117.239.91.116 A 117.239.91.8"
"1108","12.719669","10.12.14.191","117.239.91.111","TCP","66","53604  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1109","12.722872","117.239.91.111","10.12.14.191","TCP","66","80  >  53604 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1110","12.722948","10.12.14.191","117.239.91.111","TCP","54","53604  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"1111","12.723059","10.12.14.191","117.239.91.111","HTTP","341","GET /msdownload/update/v3/static/trustedr/en/disallowedcertstl.cab?c881845e499cde1b HTTP/1.1 "
"1112","12.728316","117.239.91.111","10.12.14.191","TCP","54","80  >  53604 [ACK] Seq=1 Ack=288 Win=16128 Len=0"
"1113","12.940008","117.239.91.111","10.12.14.191","TCP","54","[TCP Window Update] 80  >  53604 [ACK] Seq=1 Ack=288 Win=30464 Len=0"
"1114","12.941257","117.239.91.111","10.12.14.191","HTTP","344","HTTP/1.1 303 See Other "
"1115","12.941307","10.12.14.191","117.239.91.111","TCP","54","53604  >  80 [ACK] Seq=288 Ack=292 Win=131072 Len=0"
"1116","12.941484","10.12.14.191","117.239.91.111","TCP","54","53604  >  80 [FIN, ACK] Seq=288 Ack=292 Win=131072 Len=0"
"1117","12.943661","10.12.14.191","10.1.0.31","TCP","66","53605  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1118","12.944995","117.239.91.111","10.12.14.191","TCP","54","80  >  53604 [ACK] Seq=292 Ack=289 Win=6364672 Len=0"
"1119","13.010504","10.12.14.191","10.6.0.108","DNS","98","Standard query 0xf47d A ledger.mercury.basicattentiontoken.org"
"1120","13.010643","10.12.14.191","34.198.126.60","TCP","66","53606  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1121","13.014080","10.6.0.108","10.12.14.191","DNS","203","Standard query response 0xf47d A ledger.mercury.basicattentiontoken.org CNAME u2.shared.global.fastly.net A 151.101.66.217 A 151.101.130.217 A 151.101.194.217 A 151.101.2.217"
"1122","13.015024","10.12.14.191","151.101.66.217","TCP","66","53607  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1123","13.156314","151.101.66.217","10.12.14.191","TCP","66","443  >  53607 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1124","13.156544","10.12.14.191","151.101.66.217","TCP","54","53607  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"1125","13.157298","10.12.14.191","151.101.66.217","TLSv1.2","597","Client Hello"
"1126","13.229982","34.198.126.60","10.12.14.191","TCP","66","443  >  53606 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1127","13.230054","10.12.14.191","34.198.126.60","TCP","54","53606  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"1128","13.230328","10.12.14.191","34.198.126.60","TLSv1.2","571","Client Hello"
"1129","13.297832","151.101.66.217","10.12.14.191","TCP","54","443  >  53607 [ACK] Seq=1 Ack=544 Win=30720 Len=0"
"1130","13.302092","151.101.66.217","10.12.14.191","TLSv1.2","204","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"1131","13.302515","10.12.14.191","151.101.66.217","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"1132","13.302787","10.12.14.191","151.101.66.217","TLSv1.2","147","Application Data"
"1133","13.303028","10.12.14.191","151.101.66.217","TLSv1.2","329","Application Data"
"1134","13.397559","10.12.14.191","10.12.2.130","TCP","66","[TCP Retransmission] 53579  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1135","13.398568","10.12.14.191","10.12.2.130","TCP","66","[TCP Retransmission] 53580  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"1136","13.440958","151.101.66.217","10.12.14.191","TCP","54","443  >  53607 [ACK] Seq=151 Ack=688 Win=30720 Len=0"
"1137","13.441922","151.101.66.217","10.12.14.191","TLSv1.2","120","Application Data"
"1138","13.442499","10.12.14.191","151.101.66.217","TLSv1.2","92","Application Data"
"1139","13.450844","34.198.126.60","10.12.14.191","TCP","54","443  >  53606 [ACK] Seq=1 Ack=518 Win=28160 Len=0"
"1140","13.457198","34.198.126.60","10.12.14.191","TLSv1.2","1354","Server Hello"
"1141","13.458253","34.198.126.60","10.12.14.191","TCP","1354","443  >  53606 [ACK] Seq=1301 Ack=518 Win=28160 Len=1300 [TCP segment of a reassembled PDU]"
"1142","13.458258","34.198.126.60","10.12.14.191","TLSv1.2","518","Certificate, Server Key Exchange, Server Hello Done"
"1143","13.458405","10.12.14.191","34.198.126.60","TCP","54","53606  >  443 [ACK] Seq=518 Ack=3065 Win=131328 Len=0"
"1144","13.460324","10.12.14.191","34.198.126.60","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"1145","13.460883","10.12.14.191","34.198.126.60","TLSv1.2","471","Application Data"
"1146","13.482499","151.101.66.217","10.12.14.191","TCP","54","443  >  53607 [ACK] Seq=217 Ack=963 Win=31744 Len=0"
"1147","13.579830","151.101.66.217","10.12.14.191","TCP","54","443  >  53607 [ACK] Seq=217 Ack=1001 Win=31744 Len=0"
"1148","13.680823","34.198.126.60","10.12.14.191","TCP","54","443  >  53606 [ACK] Seq=3065 Ack=1061 Win=29184 Len=0"
"1149","13.681864","34.198.126.60","10.12.14.191","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"1150","13.693621","34.198.126.60","10.12.14.191","TLSv1.2","341","Application Data"
"1151","13.693667","10.12.14.191","34.198.126.60","TCP","54","53606  >  443 [ACK] Seq=1061 Ack=3403 Win=130816 Len=0"
